,시도,시군구,도로명,부여사유
0,서울특별시,강남구,가로수길,기존 인지도 높은 도로명
1,서울특별시,강동구,가래여울1길,가래여울길에서 일련번호 방식 부여
2,서울특별시,강북구,4.19로,4.19국립묘지가 갖는 상징성과 역사성을 반영
3,서울특별시,강서구,가로공원로,지역특성을 반영하여 도로명 부여
4,서울특별시,관악구,강남순환로,강남지역 동서를 연결하므로 ‘강남순환로’로 명명함
5,서울특별시,광진구,강변북로,한강의 북쪽 도로를 뜻함
6,서울특별시,구로구,가마산로,가마고지라는 옛지명 활용
7,서울특별시,금천구,가마산로,가마고지라는 옛지명 활용
8,서울특별시,노원구,공릉로,행정구역 명칭 사용
9,서울특별시,도봉구,노해로,옛 지명인 경기도 양주군 노해면 지명을 인용
10,서울특별시,동대문구,겸재로,조선 후기 화가 정선의 호 겸재(謙齋)에서 유래
11,서울특별시,동작구,강남초등2길,강남초등길의 시작지점에서부터 오른쪽으로 첫 번째로 분기되는 도로
12,서울특별시,마포구,가양대로,가양대교 명칭 사용
13,서울특별시,서대문구,가재울로,가재울 명칭 인용
14,서울특별시,서초구,강남대로,행정구역 명칭 사용
15,서울특별시,성동구,가람길,"중랑천 제방을 따라 조성된 도로의 특성을 반영하여 강의 순우리말인 ""가람""을 도로명으로 부여"
16,서울특별시,성북구,개운사1길,항일 터전 보존과 개운사의 역사성을 반영하여 도로 명칭을 부여
17,서울특별시,송파구,가락로,가락동을 경유하는 도로이므로 도로명부여
18,서울특별시,양천구,가로공원로,지역특성을 반영하여 도로명 부여
19,서울특별시,영등포구,63로,여의도의 대표적인 건물인 63빌딩 명칭 인용
20,서울특별시,용산구,강남대로,행정구역 명칭 사용
21,서울특별시,은평구,가양대로,가양대교 명칭 사용
22,서울특별시,종로구,경교장1길,경교장길 일련번호 부여
23,서울특별시,중구,난계로,조선초기 문신·음악가 박연의 호인 난계를 인용
24,서울특별시,중랑구,겸재로,조선 후기 화가 정선의 호 겸재(謙齋)에서 유래
