,시군구,도로명
0,강남구,가로수길
1,강남구,강남대로
2,강남구,강남대로100길
3,강남구,강남대로102길
4,강남구,강남대로106길
5,강남구,강남대로110길
6,강남구,강남대로112길
7,강남구,강남대로114길
8,강남구,강남대로116길
9,강남구,강남대로118길
10,강남구,강남대로120길
11,강남구,강남대로122길
12,강남구,강남대로124길
13,강남구,강남대로126길
14,강남구,강남대로128길
15,강남구,강남대로130길
16,강남구,강남대로132길
17,강남구,강남대로136길
18,강남구,강남대로140길
19,강남구,강남대로146길
20,강남구,강남대로150길
21,강남구,강남대로152길
22,강남구,강남대로154길
23,강남구,강남대로156길
24,강남구,강남대로158길
25,강남구,강남대로160길
26,강남구,강남대로162길
27,강남구,강남대로42길
28,강남구,강남대로44길
29,강남구,강남대로48길
30,강남구,강남대로54길
31,강남구,강남대로58길
32,강남구,강남대로62길
33,강남구,강남대로66길
34,강남구,강남대로78길
35,강남구,강남대로84길
36,강남구,강남대로92길
37,강남구,강남대로94길
38,강남구,강남대로96길
39,강남구,강남대로98길
40,강남구,개포로
41,강남구,개포로109길
42,강남구,개포로110길
43,강남구,개포로116길
44,강남구,개포로118길
45,강남구,개포로120길
46,강남구,개포로124길
47,강남구,개포로128길
48,강남구,개포로130길
49,강남구,개포로136길
50,강남구,개포로138길
51,강남구,개포로140길
52,강남구,개포로15길
53,강남구,개포로17길
54,강남구,개포로20길
55,강남구,개포로21길
56,강남구,개포로22길
57,강남구,개포로24길
58,강남구,개포로25길
59,강남구,개포로26길
60,강남구,개포로28길
61,강남구,개포로30길
62,강남구,개포로31길
63,강남구,개포로32길
64,강남구,개포로34길
65,강남구,개포로35길
66,강남구,개포로36길
67,강남구,개포로38길
68,강남구,개포로53길
69,강남구,개포로82길
70,강남구,개포로88길
71,강남구,광평로
72,강남구,광평로10길
73,강남구,광평로19길
74,강남구,광평로1길
75,강남구,광평로20길
76,강남구,광평로31길
77,강남구,광평로34길
78,강남구,광평로39길
79,강남구,광평로3길
80,강남구,광평로42길
81,강남구,광평로46길
82,강남구,광평로47길
83,강남구,광평로51길
84,강남구,광평로56길
85,강남구,광평로59길
86,강남구,광평로5길
87,강남구,광평로60길
88,강남구,광평로7길
89,강남구,광평로9길
90,강남구,남부순환로
91,강남구,남부순환로
92,강남구,남부순환로351길
93,강남구,남부순환로355길
94,강남구,남부순환로359길
95,강남구,남부순환로361길
96,강남구,남부순환로363길
97,강남구,남부순환로365길
98,강남구,남부순환로370길
99,강남구,남부순환로373길
100,강남구,남부순환로375길
101,강남구,남부순환로377길
102,강남구,남부순환로378길
103,강남구,남부순환로379길
104,강남구,남부순환로381길
105,강남구,남부순환로391길
106,강남구,남부순환로394길
107,강남구,남부순환로395길
108,강남구,남부순환로397길
109,강남구,논현로
110,강남구,논현로101길
111,강남구,논현로102길
112,강남구,논현로104길
113,강남구,논현로105길
114,강남구,논현로106길
115,강남구,논현로10길
116,강남구,논현로111길
117,강남구,논현로113길
118,강남구,논현로114길
119,강남구,논현로115길
120,강남구,논현로116길
121,강남구,논현로117길
122,강남구,논현로118길
123,강남구,논현로119길
124,강남구,논현로120길
125,강남구,논현로121길
126,강남구,논현로122길
127,강남구,논현로123길
128,강남구,논현로124길
129,강남구,논현로126길
130,강남구,논현로127길
131,강남구,논현로128길
132,강남구,논현로12길
133,강남구,논현로131길
134,강남구,논현로132길
135,강남구,논현로133길
136,강남구,논현로134길
137,강남구,논현로135길
138,강남구,논현로136길
139,강남구,논현로138길
140,강남구,논현로139길
141,강남구,논현로140길
142,강남구,논현로142길
143,강남구,논현로145길
144,강남구,논현로146길
145,강남구,논현로149길
146,강남구,논현로14길
147,강남구,논현로150길
148,강남구,논현로151길
149,강남구,논현로152길
150,강남구,논현로153길
151,강남구,논현로154길
152,강남구,논현로155길
153,강남구,논현로157길
154,강남구,논현로158길
155,강남구,논현로159길
156,강남구,논현로160길
157,강남구,논현로161길
158,강남구,논현로163길
159,강남구,논현로164길
160,강남구,논현로167길
161,강남구,논현로168길
162,강남구,논현로16길
163,강남구,논현로171길
164,강남구,논현로172길
165,강남구,논현로175길
166,강남구,논현로176길
167,강남구,논현로189길
168,강남구,논현로18길
169,강남구,논현로190길
170,강남구,논현로20길
171,강남구,논현로22길
172,강남구,논현로24길
173,강남구,논현로26길
174,강남구,논현로28길
175,강남구,논현로2길
176,강남구,논현로30길
177,강남구,논현로32길
178,강남구,논현로34길
179,강남구,논현로36길
180,강남구,논현로38길
181,강남구,논현로41길
182,강남구,논현로47길
183,강남구,논현로4길
184,강남구,논현로51길
185,강남구,논현로57길
186,강남구,논현로58길
187,강남구,논현로61길
188,강남구,논현로63길
189,강남구,논현로64길
190,강남구,논현로65길
191,강남구,논현로66길
192,강남구,논현로67길
193,강남구,논현로68길
194,강남구,논현로6길
195,강남구,논현로70길
196,강남구,논현로71길
197,강남구,논현로72길
198,강남구,논현로74길
199,강남구,논현로75길
200,강남구,논현로76길
201,강남구,논현로77길
202,강남구,논현로79길
203,강남구,논현로80길
204,강남구,논현로81길
205,강남구,논현로85길
206,강남구,논현로86길
207,강남구,논현로87길
208,강남구,논현로8길
209,강남구,논현로93길
210,강남구,논현로94길
211,강남구,논현로95길
212,강남구,논현로97길
213,강남구,논현로98길
214,강남구,논현로99길
215,강남구,도곡로
216,강남구,도곡로101길
217,강남구,도곡로11길
218,강남구,도곡로13길
219,강남구,도곡로14길
220,강남구,도곡로17길
221,강남구,도곡로18길
222,강남구,도곡로19길
223,강남구,도곡로1길
224,강남구,도곡로21길
225,강남구,도곡로22길
226,강남구,도곡로23길
227,강남구,도곡로25길
228,강남구,도곡로27길
229,강남구,도곡로28길
230,강남구,도곡로2길
231,강남구,도곡로33길
232,강남구,도곡로34길
233,강남구,도곡로37길
234,강남구,도곡로38길
235,강남구,도곡로39길
236,강남구,도곡로3길
237,강남구,도곡로43길
238,강남구,도곡로4길
239,강남구,도곡로51길
240,강남구,도곡로57길
241,강남구,도곡로5길
242,강남구,도곡로63길
243,강남구,도곡로64길
244,강남구,도곡로69길
245,강남구,도곡로6길
246,강남구,도곡로70길
247,강남구,도곡로73길
248,강남구,도곡로77길
249,강남구,도곡로78길
250,강남구,도곡로7길
251,강남구,도곡로83길
252,강남구,도곡로84길
253,강남구,도곡로87길
254,강남구,도곡로8길
255,강남구,도곡로93길
256,강남구,도곡로94길
257,강남구,도곡로99길
258,강남구,도산대로
259,강남구,도산대로100길
260,강남구,도산대로101길
261,강남구,도산대로102길
262,강남구,도산대로11길
263,강남구,도산대로12길
264,강남구,도산대로15길
265,강남구,도산대로16길
266,강남구,도산대로17길
267,강남구,도산대로19길
268,강남구,도산대로1길
269,강남구,도산대로23길
270,강남구,도산대로24길
271,강남구,도산대로25길
272,강남구,도산대로26길
273,강남구,도산대로27길
274,강남구,도산대로28길
275,강남구,도산대로30길
276,강남구,도산대로33길
277,강남구,도산대로34길
278,강남구,도산대로35길
279,강남구,도산대로37길
280,강남구,도산대로38길
281,강남구,도산대로45길
282,강남구,도산대로46길
283,강남구,도산대로49길
284,강남구,도산대로4길
285,강남구,도산대로50길
286,강남구,도산대로51길
287,강남구,도산대로53길
288,강남구,도산대로54길
289,강남구,도산대로55길
290,강남구,도산대로56길
291,강남구,도산대로57길
292,강남구,도산대로58길
293,강남구,도산대로59길
294,강남구,도산대로61길
295,강남구,도산대로62길
296,강남구,도산대로63길
297,강남구,도산대로66길
298,강남구,도산대로67길
299,강남구,도산대로68길
300,강남구,도산대로6길
301,강남구,도산대로70길
302,강남구,도산대로72길
303,강남구,도산대로75길
304,강남구,도산대로78길
305,강남구,도산대로81길
306,강남구,도산대로83길
307,강남구,도산대로85길
308,강남구,도산대로87길
309,강남구,도산대로89길
310,강남구,도산대로8길
311,강남구,도산대로90길
312,강남구,도산대로92길
313,강남구,도산대로94길
314,강남구,도산대로96길
315,강남구,도산대로98길
316,강남구,도산대로99길
317,강남구,밤고개로
318,강남구,밤고개로12길
319,강남구,밤고개로14길
320,강남구,밤고개로15길
321,강남구,밤고개로1길
322,강남구,밤고개로21길
323,강남구,밤고개로23길
324,강남구,밤고개로24길
325,강남구,밤고개로26길
326,강남구,밤고개로27길
327,강남구,밤고개로28길
328,강남구,밤고개로29길
329,강남구,밤고개로31길
330,강남구,밤고개로34길
331,강남구,밤고개로36길
332,강남구,밤고개로5길
333,강남구,봉은사로
334,강남구,봉은사로103길
335,강남구,봉은사로104길
336,강남구,봉은사로105길
337,강남구,봉은사로108길
338,강남구,봉은사로109길
339,강남구,봉은사로10길
340,강남구,봉은사로111길
341,강남구,봉은사로112길
342,강남구,봉은사로113길
343,강남구,봉은사로114길
344,강남구,봉은사로11길
345,강남구,봉은사로13길
346,강남구,봉은사로16길
347,강남구,봉은사로18길
348,강남구,봉은사로1길
349,강남구,봉은사로20길
350,강남구,봉은사로21길
351,강남구,봉은사로22길
352,강남구,봉은사로24길
353,강남구,봉은사로25길
354,강남구,봉은사로26길
355,강남구,봉은사로29길
356,강남구,봉은사로2길
357,강남구,봉은사로30길
358,강남구,봉은사로33길
359,강남구,봉은사로34길
360,강남구,봉은사로37길
361,강남구,봉은사로38길
362,강남구,봉은사로43길
363,강남구,봉은사로44길
364,강남구,봉은사로47길
365,강남구,봉은사로48길
366,강남구,봉은사로49길
367,강남구,봉은사로4길
368,강남구,봉은사로50길
369,강남구,봉은사로51길
370,강남구,봉은사로52길
371,강남구,봉은사로54길
372,강남구,봉은사로55길
373,강남구,봉은사로57길
374,강남구,봉은사로58길
375,강남구,봉은사로59길
376,강남구,봉은사로5길
377,강남구,봉은사로61길
378,강남구,봉은사로63길
379,강남구,봉은사로64길
380,강남구,봉은사로67길
381,강남구,봉은사로68길
382,강남구,봉은사로69길
383,강남구,봉은사로6길
384,강남구,봉은사로70길
385,강남구,봉은사로71길
386,강남구,봉은사로72길
387,강남구,봉은사로73길
388,강남구,봉은사로74길
389,강남구,봉은사로78길
390,강남구,봉은사로7길
391,강남구,봉은사로81길
392,강남구,봉은사로82길
393,강남구,봉은사로84길
394,강남구,봉은사로86길
395,강남구,봉은사로97길
396,강남구,봉은사로99길
397,강남구,분당수서로
398,강남구,삼성로
399,강남구,삼성로100길
400,강남구,삼성로103길
401,강남구,삼성로104길
402,강남구,삼성로107길
403,강남구,삼성로108길
404,강남구,삼성로111길
405,강남구,삼성로112길
406,강남구,삼성로115길
407,강남구,삼성로116길
408,강남구,삼성로118길
409,강남구,삼성로119길
410,강남구,삼성로120길
411,강남구,삼성로122길
412,강남구,삼성로126길
413,강남구,삼성로133길
414,강남구,삼성로134길
415,강남구,삼성로135길
416,강남구,삼성로140길
417,강남구,삼성로141길
418,강남구,삼성로144길
419,강남구,삼성로145길
420,강남구,삼성로146길
421,강남구,삼성로147길
422,강남구,삼성로148길
423,강남구,삼성로149길
424,강남구,삼성로3길
425,강남구,삼성로4길
426,강남구,삼성로51길
427,강남구,삼성로57길
428,강남구,삼성로58길
429,강남구,삼성로61길
430,강남구,삼성로62길
431,강남구,삼성로63길
432,강남구,삼성로64길
433,강남구,삼성로67길
434,강남구,삼성로68길
435,강남구,삼성로69길
436,강남구,삼성로70길
437,강남구,삼성로71길
438,강남구,삼성로72길
439,강남구,삼성로75길
440,강남구,삼성로76길
441,강남구,삼성로81길
442,강남구,삼성로82길
443,강남구,삼성로84길
444,강남구,삼성로85길
445,강남구,삼성로86길
446,강남구,삼성로91길
447,강남구,삼성로92길
448,강남구,삼성로95길
449,강남구,삼성로96길
450,강남구,삼성로99길
451,강남구,선릉로
452,강남구,선릉로100길
453,강남구,선릉로103길
454,강남구,선릉로105길
455,강남구,선릉로107길
456,강남구,선릉로108길
457,강남구,선릉로10길
458,강남구,선릉로111길
459,강남구,선릉로112길
460,강남구,선릉로115길
461,강남구,선릉로116길
462,강남구,선릉로118길
463,강남구,선릉로119길
464,강남구,선릉로120길
465,강남구,선릉로121길
466,강남구,선릉로122길
467,강남구,선릉로125길
468,강남구,선릉로126길
469,강남구,선릉로127길
470,강남구,선릉로129길
471,강남구,선릉로12길
472,강남구,선릉로130길
473,강남구,선릉로131길
474,강남구,선릉로132길
475,강남구,선릉로133길
476,강남구,선릉로134길
477,강남구,선릉로135길
